step,bpx,bpy,bpz,bqw,bqx,bqy,bqz,q:FL_hip_joint,q:FR_hip_joint,q:RL_hip_joint,q:RR_hip_joint,q:FL_thigh_joint,q:FR_thigh_joint,q:RL_thigh_joint,q:RR_thigh_joint,q:FL_calf_joint,q:FR_calf_joint,q:RL_calf_joint,q:RR_calf_joint
0,0.45829761028289795,-0.7611262202262878,0.10165813565254211,0.9999863505363464,-0.0020542095880955458,-0.004793655127286911,0.0003363244468346238,0.10187966376543045,-0.08726711571216583,0.10999795794487,-0.0977134183049202,1.400956153869629,1.406503438949585,1.4264302253723145,1.409833312034607,-2.4398045539855957,-2.568727493286133,-2.6416542530059814,-2.454108953475952
1,0.4572208523750305,-0.7609527111053467,0.10390638560056686,0.9999391436576843,-0.00553593784570694,-0.009526073932647705,0.0004913080483675003,0.10888490825891495,-0.0828888863325119,0.12020387500524521,-0.09527014940977097,1.4082707166671753,1.4083192348480225,1.4416167736053467,1.4305567741394043,-2.4524385929107666,-2.571864604949951,-2.6620876789093018,-2.4791133403778076
2,0.45627835392951965,-0.7607496976852417,0.10668845474720001,0.9998472929000854,-0.009582971222698689,-0.014593343250453472,0.0008176479605026543,0.11556211113929749,-0.07727718353271484,0.1319667100906372,-0.09122036397457123,1.4140393733978271,1.4118704795837402,1.4559028148651123,1.4535107612609863,-2.460977077484131,-2.572089195251465,-2.6805875301361084,-2.502894878387451
3,0.45548883080482483,-0.7604948878288269,0.10999902337789536,0.9996945261955261,-0.014163455925881863,-0.020221298560500145,0.0012003126321360469,0.12219177931547165,-0.07094765454530716,0.1450711041688919,-0.08601224422454834,1.420127272605896,1.4141390323638916,1.4731042385101318,1.4784979820251465,-2.4663853645324707,-2.5679891109466553,-2.699587106704712,-2.5254299640655518
4,0.4548657536506653,-0.7601944804191589,0.11380074918270111,0.9994698166847229,-0.019000638276338577,-0.02639525569975376,0.0015665648970752954,0.1284666657447815,-0.06436464190483093,0.15853802859783173,-0.08083385229110718,1.4255610704421997,1.4166632890701294,1.491142988204956,1.5046324729919434,-2.4670186042785645,-2.5613532066345215,-2.715888500213623,-2.5461928844451904
5,0.45447731018066406,-0.7598576545715332,0.11807742714881897,0.9991666674613953,-0.023875046521425247,-0.03304866701364517,0.0018902990268543363,0.1340738832950592,-0.057567089796066284,0.16483984887599945,-0.0758446753025055,1.4311013221740723,1.4195528030395508,1.4996103048324585,1.5325202941894531,-2.46403169631958,-2.5518481731414795,-2.710815191268921,-2.565927267074585
6,0.45424550771713257,-0.7594246864318848,0.12273818254470825,0.9987730383872986,-0.028563762083649635,-0.0403943732380867,0.002228175988420844,0.13823296129703522,-0.050697483122348785,0.1722259819507599,-0.07201454043388367,1.436336874961853,1.4256590604782104,1.5072400569915771,1.5621541738510132,-2.4572999477386475,-2.528247833251953,-2.704939842224121,-2.583692789077759
7,0.4541471600532532,-0.7588868141174316,0.1276981085538864,0.9982898831367493,-0.03279351815581322,-0.048324212431907654,0.002593810437247157,0.14046703279018402,-0.046083275228738785,0.17799673974514008,-0.06946559995412827,1.4413962364196777,1.4276915788650513,1.517756462097168,1.5927165746688843,-2.4475715160369873,-2.483299970626831,-2.6990952491760254,-2.59989333152771
8,0.4541766345500946,-0.7582432627677917,0.1329338252544403,0.9977078437805176,-0.03680692985653877,-0.05670269951224327,0.003005396807566285,0.14158982038497925,-0.04168442636728287,0.1829192191362381,-0.06829916685819626,1.4472885131835938,1.4240518808364868,1.5302520990371704,1.6258419752120972,-2.4368531703948975,-2.4361989498138428,-2.692627191543579,-2.615546464920044
9,0.45431554317474365,-0.757476270198822,0.13847556710243225,0.9970062375068665,-0.04110574722290039,-0.06540074199438095,0.00341681856662035,0.14304786920547485,-0.035198409110307693,0.1881880760192871,-0.06773844361305237,1.4529750347137451,1.4127380847930908,1.5450844764709473,1.6582391262054443,-2.424269437789917,-2.3888132572174072,-2.6861534118652344,-2.6123502254486084
