step,bpx,bpy,bpz,bqw,bqx,bqy,bqz,q:FL_hip_joint,q:FR_hip_joint,q:RL_hip_joint,q:RR_hip_joint,q:FL_thigh_joint,q:FR_thigh_joint,q:RL_thigh_joint,q:RR_thigh_joint,q:FL_calf_joint,q:FR_calf_joint,q:RL_calf_joint,q:RR_calf_joint
17,7.44503116607666,-15.83357048034668,0.06636045128107071,0.9986871480941772,-0.03196929767727852,-0.030472595244646072,-0.025947485119104385,0.19346997141838074,-0.012682872824370861,0.10846919566392899,-0.16241982579231262,1.2436987161636353,1.2175872325897217,1.468929409980774,1.1552636623382568,-2.0853288173675537,-1.9648807048797607,-2.2651305198669434,-2.30438232421875
18,7.444659233093262,-15.833806991577148,0.06901973485946655,0.9985932111740112,-0.03140096738934517,-0.031975556164979935,-0.02833976037800312,0.1945711225271225,-0.02086085081100464,0.10192134231328964,-0.1646728217601776,1.235611915588379,1.2129746675491333,1.4675523042678833,1.1463325023651123,-2.065916061401367,-1.9316061735153198,-2.2572288513183594,-2.292896270751953
19,7.444321632385254,-15.834057807922363,0.07176146656274796,0.9985007643699646,-0.03065311908721924,-0.03332963213324547,-0.03075273707509041,0.19533060491085052,-0.027723919600248337,0.09501281380653381,-0.16713741421699524,1.2265459299087524,1.2103991508483887,1.4644958972930908,1.1370575428009033,-2.0451033115386963,-1.900195598602295,-2.247298002243042,-2.280776262283325
20,7.4440107345581055,-15.834345817565918,0.07455520331859589,0.9984102249145508,-0.02978469431400299,-0.03444802388548851,-0.03321606665849686,0.19601038098335266,-0.03553706407546997,0.0879676565527916,-0.16959673166275024,1.217901587486267,1.2080659866333008,1.461219310760498,1.1272220611572266,-2.025151014328003,-1.864725112915039,-2.2375004291534424,-2.268024444580078
21,7.4437255859375,-15.83466625213623,0.07741861790418625,0.9983153343200684,-0.029021015390753746,-0.035292137414216995,-0.0357586145401001,0.19704173505306244,-0.04343561828136444,0.08108969777822495,-0.1715727299451828,1.2083452939987183,1.2044408321380615,1.4561398029327393,1.116572618484497,-2.00414776802063,-1.8283824920654297,-2.22574782371521,-2.2543933391571045
22,7.443461894989014,-15.835015296936035,0.08034674823284149,0.9982167482376099,-0.028397850692272186,-0.03585797920823097,-0.03835579380393028,0.1985224187374115,-0.051470011472702026,0.07466740161180496,-0.17296291887760162,1.1991559267044067,1.2000114917755127,1.4506250619888306,1.1051462888717651,-1.9841028451919556,-1.7908254861831665,-2.214005947113037,-2.239858865737915
23,7.443226337432861,-15.835395812988281,0.08334319293498993,0.9981129765510559,-0.027938205748796463,-0.036170993000268936,-0.0410090796649456,0.20042870938777924,-0.059250358492136,0.06862176954746246,-0.17379014194011688,1.1891262531280518,1.194334626197815,1.4434535503387451,1.093004822731018,-1.963091254234314,-1.751823902130127,-2.2004499435424805,-2.2244131565093994
24,7.44301700592041,-15.83581256866455,0.0863986536860466,0.9980055093765259,-0.027585169300436974,-0.03626367449760437,-0.04369300976395607,0.20267489552497864,-0.06682626903057098,0.06305048614740372,-0.17410852015018463,1.1794251203536987,1.1876670122146606,1.4359244108200073,1.0803401470184326,-1.942861795425415,-1.71114981174469,-2.186859607696533,-2.2082204818725586
25,7.442838191986084,-15.836263656616211,0.08950245380401611,0.9978947043418884,-0.027297915890812874,-0.036148861050605774,-0.046414125710725784,0.20513902604579926,-0.073856882750988,0.05775338038802147,-0.1740153282880783,1.1689776182174683,1.1801791191101074,1.426988959312439,1.067217469215393,-1.9217218160629272,-1.6719813346862793,-2.1716628074645996,-2.191398859024048
26,7.442681789398193,-15.83675479888916,0.09265214204788208,0.997780978679657,-0.027044039219617844,-0.03586132451891899,-0.04914996400475502,0.2077924758195877,-0.07966526597738266,0.052837930619716644,-0.1736065298318863,1.1588045358657837,1.1726341247558594,1.4177355766296387,1.0537421703338623,-1.901219367980957,-1.638350486755371,-2.1563894748687744,-2.1740026473999023
27,7.442553997039795,-15.83728313446045,0.09584140032529831,0.9976649880409241,-0.026765327900648117,-0.03543920814990997,-0.051886994391679764,0.2104109674692154,-0.08415708690881729,0.04809940978884697,-0.1730451136827469,1.1479544639587402,1.1653318405151367,1.4073593616485596,1.0401108264923096,-1.8798038959503174,-1.6122366189956665,-2.1397323608398438,-2.156167507171631
